train_loss,epoch,step,validation_loss,test_loss
1.2102627754211426,0,49,,
0.4420263469219208,0,99,,
,0,99,0.6531882882118225,
0.7559676170349121,1,149,,
0.5201393365859985,1,199,,
,1,199,0.4467526376247406,
0.3562544286251068,2,249,,
0.31571584939956665,2,299,,
,2,299,0.4012594223022461,
0.3892085552215576,3,349,,
0.16742035746574402,3,399,,
,3,399,0.3536437451839447,
0.3257550895214081,4,449,,
0.3003474175930023,4,499,,
,4,499,0.3276093006134033,
0.23389141261577606,5,549,,
0.20114384591579437,5,599,,
,5,599,0.3150993585586548,
0.21424897015094757,6,649,,
0.18579496443271637,6,699,,
,6,699,0.3086633086204529,
0.4032648801803589,7,749,,
0.18910527229309082,7,799,,
,7,799,0.29958221316337585,
0.35376420617103577,8,849,,
0.6221687197685242,8,899,,
,8,899,0.2966696321964264,
0.2813323736190796,9,949,,
0.21431495249271393,9,999,,
,9,999,0.28198859095573425,
,10,1000,0.28198859095573425,
,10,1000,,0.26921042799949646
